period,year,quarter,indicator_id,indicator_name,value_yi_yuan,yoy_pct,source_file
2005-Q4,2005,4,indicator-gdp-primary,第一产业增加值,872.55,1.6,浙江省第一产业季度.xlsx
2005-Q4,2005,4,indicator-gdp-secondary,第二产业增加值,7147.81,12.1,浙江省第二产业季度.xlsx
2005-Q4,2005,4,indicator-gdp-tertiary,第三产业增加值,5345.15,14.9,浙江省第三产业季度.xlsx
2006-Q1,2006,1,indicator-gdp-primary,第一产业增加值,148,2.2,浙江省第一产业季度.xlsx
2006-Q1,2006,1,indicator-gdp-secondary,第二产业增加值,1788.59,17.1,浙江省第二产业季度.xlsx
2006-Q1,2006,1,indicator-gdp-tertiary,第三产业增加值,1382.79,12.4,浙江省第三产业季度.xlsx
2006-Q2,2006,2,indicator-gdp-primary,第一产业增加值,363.48,2.5,浙江省第一产业季度.xlsx
2006-Q2,2006,2,indicator-gdp-secondary,第二产业增加值,3810.04,14.8,浙江省第二产业季度.xlsx
2006-Q2,2006,2,indicator-gdp-tertiary,第三产业增加值,2949.88,14.8,浙江省第三产业季度.xlsx
2006-Q3,2006,3,indicator-gdp-primary,第一产业增加值,553.94,3,浙江省第一产业季度.xlsx
2006-Q3,2006,3,indicator-gdp-secondary,第二产业增加值,5982.91,14.3,浙江省第二产业季度.xlsx
2006-Q3,2006,3,indicator-gdp-tertiary,第三产业增加值,4460.05,14.8,浙江省第三产业季度.xlsx
2006-Q4,2006,4,indicator-gdp-primary,第一产业增加值,922.98,3,浙江省第一产业季度.xlsx
2006-Q4,2006,4,indicator-gdp-secondary,第二产业增加值,8437.71,13.9,浙江省第二产业季度.xlsx
2006-Q4,2006,4,indicator-gdp-tertiary,第三产业增加值,6288.24,15.1,浙江省第三产业季度.xlsx
2007-Q1,2007,1,indicator-gdp-primary,第一产业增加值,149.54,2.8,浙江省第一产业季度.xlsx
2007-Q1,2007,1,indicator-gdp-secondary,第二产业增加值,2115.75,14.3,浙江省第二产业季度.xlsx
2007-Q1,2007,1,indicator-gdp-tertiary,第三产业增加值,1633.72,16.2,浙江省第三产业季度.xlsx
2007-Q2,2007,2,indicator-gdp-primary,第一产业增加值,394.86,2.9,浙江省第一产业季度.xlsx
2007-Q2,2007,2,indicator-gdp-secondary,第二产业增加值,4468.25,15.4,浙江省第二产业季度.xlsx
2007-Q2,2007,2,indicator-gdp-tertiary,第三产业增加值,3481.28,15.3,浙江省第三产业季度.xlsx
2007-Q3,2007,3,indicator-gdp-primary,第一产业增加值,609.68,2.8,浙江省第一产业季度.xlsx
2007-Q3,2007,3,indicator-gdp-secondary,第二产业增加值,7025.41,14.9,浙江省第二产业季度.xlsx
2007-Q3,2007,3,indicator-gdp-tertiary,第三产业增加值,5349,15.9,浙江省第三产业季度.xlsx
2007-Q4,2007,4,indicator-gdp-primary,第一产业增加值,1025.27,2.8,浙江省第一产业季度.xlsx
2007-Q4,2007,4,indicator-gdp-secondary,第二产业增加值,10092,15.4,浙江省第二产业季度.xlsx
2007-Q4,2007,4,indicator-gdp-tertiary,第三产业增加值,7521.09,15.1,浙江省第三产业季度.xlsx
2008-Q1,2008,1,indicator-gdp-primary,第一产业增加值,168.68,-0.8,浙江省第一产业季度.xlsx
2008-Q1,2008,1,indicator-gdp-secondary,第二产业增加值,2497.61,12.5,浙江省第二产业季度.xlsx
2008-Q1,2008,1,indicator-gdp-tertiary,第三产业增加值,1935.68,12,浙江省第三产业季度.xlsx
2008-Q2,2008,2,indicator-gdp-primary,第一产业增加值,440.26,1.3,浙江省第一产业季度.xlsx
2008-Q2,2008,2,indicator-gdp-secondary,第二产业增加值,5291.97,11.5,浙江省第二产业季度.xlsx
2008-Q2,2008,2,indicator-gdp-tertiary,第三产业增加值,4156.52,12.3,浙江省第三产业季度.xlsx
2008-Q3,2008,3,indicator-gdp-primary,第一产业增加值,685.6,2.9,浙江省第一产业季度.xlsx
2008-Q3,2008,3,indicator-gdp-secondary,第二产业增加值,8279.5,10.6,浙江省第二产业季度.xlsx
2008-Q3,2008,3,indicator-gdp-tertiary,第三产业增加值,6336.8,11.5,浙江省第三产业季度.xlsx
2008-Q4,2008,4,indicator-gdp-primary,第一产业增加值,1095.4,3.9,浙江省第一产业季度.xlsx
2008-Q4,2008,4,indicator-gdp-secondary,第二产业增加值,11580.3,9.4,浙江省第二产业季度.xlsx
2008-Q4,2008,4,indicator-gdp-tertiary,第三产业增加值,8811.2,11.8,浙江省第三产业季度.xlsx
2009-Q1,2009,1,indicator-gdp-primary,第一产业增加值,170.9,2,浙江省第一产业季度.xlsx
2009-Q1,2009,1,indicator-gdp-secondary,第二产业增加值,2315.4,-3,浙江省第二产业季度.xlsx
2009-Q1,2009,1,indicator-gdp-tertiary,第三产业增加值,2145.8,11.4,浙江省第三产业季度.xlsx
2009-Q2,2009,2,indicator-gdp-primary,第一产业增加值,432.9,0.7,浙江省第一产业季度.xlsx
2009-Q2,2009,2,indicator-gdp-secondary,第二产业增加值,5067.5,1.9,浙江省第二产业季度.xlsx
2009-Q2,2009,2,indicator-gdp-tertiary,第三产业增加值,4543.1,12.2,浙江省第三产业季度.xlsx
2009-Q3,2009,3,indicator-gdp-primary,第一产业增加值,694.4,1.8,浙江省第一产业季度.xlsx
2009-Q3,2009,3,indicator-gdp-secondary,第二产业增加值,8160.5,4.5,浙江省第二产业季度.xlsx
2009-Q3,2009,3,indicator-gdp-tertiary,第三产业增加值,6973.2,12.5,浙江省第三产业季度.xlsx
2009-Q4,2009,4,indicator-gdp-primary,第一产业增加值,1161.65,2.3,浙江省第一产业季度.xlsx
2009-Q4,2009,4,indicator-gdp-secondary,第二产业增加值,11843.3,6.8,浙江省第二产业季度.xlsx
2009-Q4,2009,4,indicator-gdp-tertiary,第三产业增加值,9827.48,12.5,浙江省第三产业季度.xlsx
2010-Q1,2010,1,indicator-gdp-primary,第一产业增加值,185.3,3.3,浙江省第一产业季度.xlsx
2010-Q1,2010,1,indicator-gdp-secondary,第二产业增加值,2676.5,18.6,浙江省第二产业季度.xlsx
2010-Q1,2010,1,indicator-gdp-tertiary,第三产业增加值,2501.5,12.3,浙江省第三产业季度.xlsx
2010-Q2,2010,2,indicator-gdp-primary,第一产业增加值,506.8,2,浙江省第一产业季度.xlsx
2010-Q2,2010,2,indicator-gdp-secondary,第二产业增加值,6129.67,16.5,浙江省第二产业季度.xlsx
2010-Q2,2010,2,indicator-gdp-tertiary,第三产业增加值,5356.61,11.4,浙江省第三产业季度.xlsx
2010-Q3,2010,3,indicator-gdp-primary,第一产业增加值,809.8,3.2,浙江省第一产业季度.xlsx
2010-Q3,2010,3,indicator-gdp-secondary,第二产业增加值,9723.4,14.3,浙江省第二产业季度.xlsx
2010-Q3,2010,3,indicator-gdp-tertiary,第三产业增加值,8231.9,11.3,浙江省第三产业季度.xlsx
2010-Q4,2010,4,indicator-gdp-primary,第一产业增加值,1360.7,3.2,浙江省第一产业季度.xlsx
2010-Q4,2010,4,indicator-gdp-secondary,第二产业增加值,14121.3,12.3,浙江省第二产业季度.xlsx
2010-Q4,2010,4,indicator-gdp-tertiary,第三产业增加值,11744.8,12.1,浙江省第三产业季度.xlsx
2011-Q1,2011,1,indicator-gdp-primary,第一产业增加值,215.06,3.1,浙江省第一产业季度.xlsx
2011-Q1,2011,1,indicator-gdp-secondary,第二产业增加值,3167.51,10.8,浙江省第二产业季度.xlsx
2011-Q1,2011,1,indicator-gdp-tertiary,第三产业增加值,2928.67,10.5,浙江省第三产业季度.xlsx
2011-Q2,2011,2,indicator-gdp-primary,第一产业增加值,593.4,3,浙江省第一产业季度.xlsx
2011-Q2,2011,2,indicator-gdp-secondary,第二产业增加值,7600.2,10.1,浙江省第二产业季度.xlsx
2011-Q2,2011,2,indicator-gdp-tertiary,第三产业增加值,6460,10.3,浙江省第三产业季度.xlsx
2011-Q3,2011,3,indicator-gdp-primary,第一产业增加值,951.6,3,浙江省第一产业季度.xlsx
2011-Q3,2011,3,indicator-gdp-secondary,第二产业增加值,11683.7,9.7,浙江省第二产业季度.xlsx
2011-Q3,2011,3,indicator-gdp-tertiary,第三产业增加值,9992.1,9.7,浙江省第三产业季度.xlsx
2011-Q4,2011,4,indicator-gdp-primary,第一产业增加值,1580.6,3.6,浙江省第一产业季度.xlsx
2011-Q4,2011,4,indicator-gdp-secondary,第二产业增加值,16404.2,9.1,浙江省第二产业季度.xlsx
2011-Q4,2011,4,indicator-gdp-tertiary,第三产业增加值,14015.4,9.4,浙江省第三产业季度.xlsx
2012-Q1,2012,1,indicator-gdp-primary,第一产业增加值,242.7,0.8,浙江省第一产业季度.xlsx
2012-Q1,2012,1,indicator-gdp-secondary,第二产业增加值,3344.2,6.4,浙江省第二产业季度.xlsx
2012-Q1,2012,1,indicator-gdp-tertiary,第三产业增加值,3137.8,8.2,浙江省第三产业季度.xlsx
2012-Q2,2012,2,indicator-gdp-primary,第一产业增加值,655.7,2.1,浙江省第一产业季度.xlsx
2012-Q2,2012,2,indicator-gdp-secondary,第二产业增加值,8005.9,6.5,浙江省第二产业季度.xlsx
2012-Q2,2012,2,indicator-gdp-tertiary,第三产业增加值,7128.8,8.8,浙江省第三产业季度.xlsx
2012-Q3,2012,3,indicator-gdp-primary,第一产业增加值,1029.4,2.1,浙江省第一产业季度.xlsx
2012-Q3,2012,3,indicator-gdp-secondary,第二产业增加值,12269,6.8,浙江省第二产业季度.xlsx
2012-Q3,2012,3,indicator-gdp-tertiary,第三产业增加值,10916.5,9.2,浙江省第三产业季度.xlsx
2012-Q4,2012,4,indicator-gdp-primary,第一产业增加值,1669.5,2,浙江省第一产业季度.xlsx
2012-Q4,2012,4,indicator-gdp-secondary,第二产业增加值,17312.4,7.3,浙江省第二产业季度.xlsx
2012-Q4,2012,4,indicator-gdp-tertiary,第三产业增加值,15624.4,9.3,浙江省第三产业季度.xlsx
2013-Q1,2013,1,indicator-gdp-primary,第一产业增加值,258.3,2.6,浙江省第一产业季度.xlsx
2013-Q1,2013,1,indicator-gdp-secondary,第二产业增加值,3556.6,8.6,浙江省第二产业季度.xlsx
2013-Q1,2013,1,indicator-gdp-tertiary,第三产业增加值,3446.7,8.2,浙江省第三产业季度.xlsx
2013-Q2,2013,2,indicator-gdp-primary,第一产业增加值,679.9,2.4,浙江省第一产业季度.xlsx
2013-Q2,2013,2,indicator-gdp-secondary,第二产业增加值,8440.3,8.9,浙江省第二产业季度.xlsx
2013-Q2,2013,2,indicator-gdp-tertiary,第三产业增加值,7833.7,8.1,浙江省第三产业季度.xlsx
2013-Q3,2013,3,indicator-gdp-primary,第一产业增加值,1074.5,1.8,浙江省第一产业季度.xlsx
2013-Q3,2013,3,indicator-gdp-secondary,第二产业增加值,13057.6,8.5,浙江省第二产业季度.xlsx
2013-Q3,2013,3,indicator-gdp-tertiary,第三产业增加值,12063,8.5,浙江省第三产业季度.xlsx
2013-Q4,2013,4,indicator-gdp-primary,第一产业增加值,1784.62,0.4,浙江省第一产业季度.xlsx
2013-Q4,2013,4,indicator-gdp-secondary,第二产业增加值,18446.65,8.4,浙江省第二产业季度.xlsx
2013-Q4,2013,4,indicator-gdp-tertiary,第三产业增加值,17337.22,8.7,浙江省第三产业季度.xlsx
2014-Q1,2014,1,indicator-gdp-primary,第一产业增加值,274.21,0.3,浙江省第一产业季度.xlsx
2014-Q1,2014,1,indicator-gdp-secondary,第二产业增加值,3744.93,6.5,浙江省第二产业季度.xlsx
2014-Q1,2014,1,indicator-gdp-tertiary,第三产业增加值,3749.32,7.9,浙江省第三产业季度.xlsx
2014-Q2,2014,2,indicator-gdp-primary,第一产业增加值,755.2,0.9,浙江省第一产业季度.xlsx
2014-Q2,2014,2,indicator-gdp-secondary,第二产业增加值,8915.35,6.5,浙江省第二产业季度.xlsx
2014-Q2,2014,2,indicator-gdp-tertiary,第三产业增加值,8307.66,8.4,浙江省第三产业季度.xlsx
2014-Q3,2014,3,indicator-gdp-primary,第一产业增加值,1153.41,1.1,浙江省第一产业季度.xlsx
2014-Q3,2014,3,indicator-gdp-secondary,第二产业增加值,13849.62,6.9,浙江省第二产业季度.xlsx
2014-Q3,2014,3,indicator-gdp-tertiary,第三产业增加值,12819.16,8.4,浙江省第三产业季度.xlsx
2014-Q4,2014,4,indicator-gdp-primary,第一产业增加值,1779.26,1.4,浙江省第一产业季度.xlsx
2014-Q4,2014,4,indicator-gdp-secondary,第二产业增加值,19152.73,7.1,浙江省第二产业季度.xlsx
2014-Q4,2014,4,indicator-gdp-tertiary,第三产业增加值,19221.51,8.7,浙江省第三产业季度.xlsx
2015-Q1,2015,1,indicator-gdp-primary,第一产业增加值,278.19,1.1,浙江省第一产业季度.xlsx
2015-Q1,2015,1,indicator-gdp-secondary,第二产业增加值,3772.22,6,浙江省第二产业季度.xlsx
2015-Q1,2015,1,indicator-gdp-tertiary,第三产业增加值,4291.97,10.8,浙江省第三产业季度.xlsx
2015-Q2,2015,2,indicator-gdp-primary,第一产业增加值,763.3,1.2,浙江省第一产业季度.xlsx
2015-Q2,2015,2,indicator-gdp-secondary,第二产业增加值,8870.56,5.8,浙江省第二产业季度.xlsx
2015-Q2,2015,2,indicator-gdp-tertiary,第三产业增加值,9646.83,11.4,浙江省第三产业季度.xlsx
2015-Q3,2015,3,indicator-gdp-primary,第一产业增加值,1161.16,1.1,浙江省第一产业季度.xlsx
2015-Q3,2015,3,indicator-gdp-secondary,第二产业增加值,13664.82,5.4,浙江省第二产业季度.xlsx
2015-Q3,2015,3,indicator-gdp-tertiary,第三产业增加值,14858.25,11.3,浙江省第三产业季度.xlsx
2015-Q4,2015,4,indicator-gdp-primary,第一产业增加值,1832.8,1.5,浙江省第一产业季度.xlsx
2015-Q4,2015,4,indicator-gdp-secondary,第二产业增加值,19707.09,5.4,浙江省第二产业季度.xlsx
2015-Q4,2015,4,indicator-gdp-tertiary,第三产业增加值,21346.6,11.3,浙江省第三产业季度.xlsx
2016-Q1,2016,1,indicator-gdp-primary,第一产业增加值,301.8,1.2,浙江省第一产业季度.xlsx
2016-Q1,2016,1,indicator-gdp-secondary,第二产业增加值,3979.02,5,浙江省第二产业季度.xlsx
2016-Q1,2016,1,indicator-gdp-tertiary,第三产业增加值,5075.38,9.5,浙江省第三产业季度.xlsx
2016-Q2,2016,2,indicator-gdp-primary,第一产业增加值,832.49,1.7,浙江省第一产业季度.xlsx
2016-Q2,2016,2,indicator-gdp-secondary,第二产业增加值,9113.78,6.1,浙江省第二产业季度.xlsx
2016-Q2,2016,2,indicator-gdp-tertiary,第三产业增加值,10816.06,9.7,浙江省第三产业季度.xlsx
2016-Q3,2016,3,indicator-gdp-primary,第一产业增加值,1251.14,2.5,浙江省第一产业季度.xlsx
2016-Q3,2016,3,indicator-gdp-secondary,第二产业增加值,14329.73,6.2,浙江省第二产业季度.xlsx
2016-Q3,2016,3,indicator-gdp-tertiary,第三产业增加值,16653.46,9.2,浙江省第三产业季度.xlsx
2016-Q4,2016,4,indicator-gdp-primary,第一产业增加值,1966.54,2.7,浙江省第一产业季度.xlsx
2016-Q4,2016,4,indicator-gdp-secondary,第二产业增加值,20517.83,5.8,浙江省第二产业季度.xlsx
2016-Q4,2016,4,indicator-gdp-tertiary,第三产业增加值,24000.61,9.4,浙江省第三产业季度.xlsx
2017-Q1,2017,1,indicator-gdp-primary,第一产业增加值,297.08,1.1,浙江省第一产业季度.xlsx
2017-Q1,2017,1,indicator-gdp-secondary,第二产业增加值,4436,6.1,浙江省第二产业季度.xlsx
2017-Q1,2017,1,indicator-gdp-tertiary,第三产业增加值,5818.85,10,浙江省第三产业季度.xlsx
2017-Q2,2017,2,indicator-gdp-primary,第一产业增加值,820.48,1.5,浙江省第一产业季度.xlsx
2017-Q2,2017,2,indicator-gdp-secondary,第二产业增加值,10174.91,6.6,浙江省第二产业季度.xlsx
2017-Q2,2017,2,indicator-gdp-tertiary,第三产业增加值,12387.82,9.8,浙江省第三产业季度.xlsx
2017-Q3,2017,3,indicator-gdp-primary,第一产业增加值,1247.79,1.9,浙江省第一产业季度.xlsx
